first_name,last_name,ata_number,age_group,rank
Maya,Chen,300001,Youth 7-8,1st Degree
Liam,Anderson,300002,Youth 11-12,1st Degree
Sofia,Walker,300003,Teen 15-17,1st Degree
Noah,Foster,300004,Teen 13-14,2nd Degree
Ava,Peterson,300005,Adult 18-29,2nd Degree
Ethan,Cook,300006,Adult 40-49,2nd Degree
Isabella,Brooks,300007,Adult 60-69,2nd Degree
Lucas,Garcia,300008,Adult 40-49,3rd Degree
Mia,Young,300009,Adult 60-69,3rd Degree
Oliver,Bryant,300010,Youth 7-8,3rd Degree
Emma,Murphy,300011,Youth 11-12,3rd Degree
James,Patel,300012,Teen 15-17,3rd Degree
Harper,Kim,300013,Youth 9-10,4th Degree
Benjamin,Davis,300014,Teen 13-14,4th Degree
Amelia,Bennett,300015,Adult 18-29,4th Degree
Elijah,Ward,300016,Adult 40-49,4th Degree
Charlotte,Turner,300017,Adult 60-69,4th Degree
Henry,Kim,300018,Youth 7-8,4th Degree
Luna,Nguyen,300019,Adult 40-49,5th Degree
Daniel,Robinson,300020,Adult 60-69,5th Degree
Nora,Price,300021,Youth 7-8,5th Degree
Miles,Hayes,300022,Youth 11-12,5th Degree
Caleb,Morgan,300023,Teen 15-17,5th Degree
Leah,Nguyen,300024,Adult 30-39,5th Degree
Zoe,Robinson,300025,Adult 50-59,5th Degree
Owen,Hernandez,300026,Teen 13-14,6th Degree
Isaac,Coleman,300027,Adult 18-29,6th Degree
Mila,Ross,300028,Adult 40-49,6th Degree
Ruby,Bailey,300029,Adult 60-69,6th Degree
Eli,Martin,300030,Youth 7-8,6th Degree
Victoria,Hernandez,300031,Youth 11-12,6th Degree
Jonah,Coleman,300032,Teen 15-17,6th Degree
Naomi,Ross,300033,Adult 30-39,6th Degree
Adrian,Ross,300034,Youth 7-8,7th Degree
Clara,Bailey,300035,Youth 11-12,7th Degree
Simon,Martin,300036,Teen 15-17,7th Degree
Elena,Hernandez,300037,Adult 30-39,7th Degree
Marcus,Coleman,300038,Adult 50-59,7th Degree
Tessa,Ross,300039,Adult 70-79,7th Degree
Graham,Bailey,300040,Youth 9-10,7th Degree
Maya,Martin,300041,Teen 13-14,7th Degree
Liam,Hernandez,300042,Adult 18-29,7th Degree
Sofia,Robinson,300043,Adult 60-69,8th Degree
