first_name,last_name,ata_number,rank,qualification
Nora,Bennett,730184,5th Degree,Center
Caleb,Foster,518297,4th Degree,Center
Zoe,Morgan,964205,6th Degree,Center
Mateo,Reed,382716,3rd Degree,Center
Violet,Hayes,641930,7th Degree,Center
Owen,Price,207594,2nd Degree,Corner
Aria,Coleman,895361,3rd Degree,Corner
Leo,Sullivan,456028,4th Degree,Corner
Chloe,Bell,719463,5th Degree,Corner
Mason,Gray,530812,6th Degree,Corner
Ella,Ross,846275,1st Degree,Corner
Wyatt,Cooper,193684,2nd Degree,Corner
Layla,Ward,602951,3rd Degree,Corner
Jack,Perry,374820,4th Degree,Corner
Scarlett,Jenkins,958137,5th Degree,Corner
Logan,Long,481629,1st Degree,Corner
Hazel,Flores,726390,2nd Degree,Corner
Grayson,Sanders,315084,3rd Degree,Corner
Penelope,Diaz,849506,4th Degree,Corner
Sebastian,Bryant,260738,5th Degree,Corner
