first_name,last_name,ata_number,rank,qualification
Ada,Marshall,830001,5th Degree,Center
Ben,Lawson,830002,4th Degree,Center
Cora,Hamilton,830003,6th Degree,Center
Dylan,Young,840001,1st Degree,Corner
Eva,Walker,840002,2nd Degree,Corner
Felix,Allen,840003,3rd Degree,Corner
Gina,Wright,840004,4th Degree,Corner
Hugo,King,840005,5th Degree,Corner
Isla,Scott,840006,6th Degree,Corner
Jonah,Green,840007,2nd Degree,Corner
Keira,Adams,840008,3rd Degree,Corner
Leo,Nelson,840009,4th Degree,Corner
Mila,Hill,840010,5th Degree,Corner
Nolan,Baker,840011,6th Degree,Corner
Opal,Carter,840012,1st Degree,Corner
Paige,Phillips,840013,2nd Degree,Corner
Reid,Evans,840014,3rd Degree,Corner
Sage,Edwards,840015,4th Degree,Corner
Theo,Turner,840016,5th Degree,Corner
Vera,Perry,840017,6th Degree,Corner
Wyatt,Long,840018,7th Degree,Corner
