first_name,last_name,ata_number,rank,qualification
Avery,Stone,810001,5th Degree,Center
Blake,Morris,810002,6th Degree,Center
Casey,Parker,810003,4th Degree,Center
Drew,Bennett,810004,7th Degree,Center
Emerson,Reed,810005,3rd Degree,Center
Finley,Hayes,810006,8th Degree,Center
Gray,Collins,810007,5th Degree,Center
Harper,Sloan,810008,6th Degree,Center
Iris,Turner,820001,1st Degree,Corner
Jude,Carter,820002,2nd Degree,Corner
Kira,Morgan,820003,3rd Degree,Corner
Landon,Brooks,820004,4th Degree,Corner
Maya,Price,820005,5th Degree,Corner
Noel,Cooper,820006,6th Degree,Corner
Olivia,Bell,820007,2nd Degree,Corner
Parker,Ward,820008,3rd Degree,Corner
Quinn,Foster,820009,4th Degree,Corner
Riley,Ross,820010,5th Degree,Corner
Sawyer,Gray,820011,6th Degree,Corner
Taylor,Jenkins,820012,1st Degree,Corner
Uma,Long,820013,2nd Degree,Corner
Vaughn,Flores,820014,3rd Degree,Corner
Willa,Sanders,820015,4th Degree,Corner
Xander,Diaz,820016,5th Degree,Corner
Yara,Bryant,820017,6th Degree,Corner
Zane,Mitchell,820018,7th Degree,Corner
Nina,Howard,820019,3rd Degree,Corner
Oscar,Peterson,820020,4th Degree,Corner
